|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||Türkiye-TR|
||||
||0830009. (İnternet Ücreti)|69.529|
|07-Temmuz|0122101. (Su)|0.2188|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.6097|
||0830009. (İnternet Ücreti)|69.529|
|08-Ağustos|0122101. (Su)|0.2221|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.6097|
||0830009. (İnternet Ücreti)|60.8918|
|09-Eylül|0122101. (Su)|0.2266|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.6119|
||0830009. (İnternet Ücreti)|60.8918|
|10-Ekim|0122101. (Su)|0.2278|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.6119|
||0830009. (İnternet Ücreti)|60.8918|
|11-Kasım|0122101. (Su)|0.2295|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.6116|
||0830009. (İnternet Ücreti)|60.8918|
|12-Aralık|0122101. (Su)|0.2301|
||0451001. (Elektrik Ücreti)|0.1573|
||0452101. (Doğal Gaz)|0.6098|
||0830009. (İnternet Ücreti)|60.8918|
2008|01-Ocak|0122101. (Su)|0.2488|
||0451001. (Elektrik Ücreti)|0.1876|
||0452101. (Doğal Gaz)|0.6584|
||0830009. (İnternet Ücreti)|62.0471|
|02-Şubat|0122101. (Su)|0.2511|
||0451001. (Elektrik Ücreti)|0.1874|
||0452101. (Doğal Gaz)|0.6585|
||0830009. (İnternet Ücreti)|62.0471|
|03-Mart|0122101. (Su)|0.2546|
||0451001. (Elektrik Ücreti)|0.1874|
||0452101. (Doğal Gaz)|0.6597|
||0830009. (İnternet Ücreti)|62.0471|
|04-Nisan|0122101. (Su)|0.2574|
||0451001. (Elektrik Ücreti)|0.1874|
||0452101. (Doğal Gaz)|0.6634|
||0830009. (İnternet Ücreti)|62.0471|
|05-Mayıs|0122101. (Su)|0.2595|
||0451001. (Elektrik Ücreti)|0.1874|
||0452101. (Doğal Gaz)|0.6665|
||0830009. (İnternet Ücreti)|62.0471|
|06-Haziran|0122101. (Su)|0.2649|
||0451001. (Elektrik Ücreti)|0.1874|
||0452101. (Doğal Gaz)|0.7196|
||0830009. (İnternet Ücreti)|62.0471|
|07-Temmuz|0122101. (Su)|0.2687|
||0451001. (Elektrik Ücreti)|0.2247|
||0452101. (Doğal Gaz)|0.7194|
||0830009. (İnternet Ücreti)|62.0471|
|08-Ağustos|0122101. (Su)|0.27|
||0451001. (Elektrik Ücreti)|0.2221|
||0452101. (Doğal Gaz)|0.8423|
||0830009. (İnternet Ücreti)|62.0471|
|09-Eylül|0122101. (Su)|0.272|
||0451001. (Elektrik Ücreti)|0.2221|
||0452101. (Doğal Gaz)|0.8426|
||0830009. (İnternet Ücreti)|62.0471|
|10-Ekim|0122101. (Su)|0.2719|
||0451001. (Elektrik Ücreti)|0.2424|
||0452101. (Doğal Gaz)|0.8778|
||0830009. (İnternet Ücreti)|62.0471|
|11-Kasım|0122101. (Su)|0.2735|
||0451001. (Elektrik Ücreti)|0.2424|
||0452101. (Doğal Gaz)|1.0689|
||0830009. (İnternet Ücreti)|62.0471|
|12-Aralık|0122101. (Su)|0.2748|
||0451001. (Elektrik Ücreti)|0.2424|
||0452101. (Doğal Gaz)|1.0737|
||0830009. (İnternet Ücreti)|62.0471|
2009|01-Ocak|0122101. (Su)|0.2777|
||0451001. (Elektrik Ücreti)|0.2447|
||0452101. (Doğal Gaz)|1.0713|
||0830009. (İnternet Ücreti)|33.9121|
|02-Şubat|0122101. (Su)|0.279|
||0451001. (Elektrik Ücreti)|0.2447|
||0452101. (Doğal Gaz)|0.9051|
||0830009. (İnternet Ücreti)|33.9121|
|03-Mart|0122101. (Su)|0.2794|
||0451001. (Elektrik Ücreti)|0.2447|
||0452101. (Doğal Gaz)|0.9112|
||0830009. (İnternet Ücreti)|31.3543|
|04-Nisan|0122101. (Su)|0.2801|
||0451001. (Elektrik Ücreti)|0.2408|
||0452101. (Doğal Gaz)|0.9144|
||0830009. (İnternet Ücreti)|31.3543|
|05-Mayıs|0122101. (Su)|0.2808|
||0451001. (Elektrik Ücreti)|0.2409|
||0452101. (Doğal Gaz)|0.7146|
||0830009. (İnternet Ücreti)|31.3543|
|06-Haziran|0122101. (Su)|0.2817|
||0451001. (Elektrik Ücreti)|0.2409|
||0452101. (Doğal Gaz)|0.7142|
||0830009. (İnternet Ücreti)|31.3543|
|07-Temmuz|0122101. (Su)|0.2826|
||0451001. (Elektrik Ücreti)|0.2409|
||0452101. (Doğal Gaz)|0.7135|
||0830009. (İnternet Ücreti)|31.3543|
|08-Ağustos|0122101. (Su)|0.2817|
||0451001. (Elektrik Ücreti)|0.2409|
||0452101. (Doğal Gaz)|0.7133|
||0830009. (İnternet Ücreti)|31.3543|
|09-Eylül|0122101. (Su)|0.2816|
||0451001. (Elektrik Ücreti)|0.2409|
||0452101. (Doğal Gaz)|0.712|
||0830009. (İnternet Ücreti)|31.3543|
|10-Ekim|0122101. (Su)|0.2816|
||0451001. (Elektrik Ücreti)|0.2643|
||0452101. (Doğal Gaz)|0.7122|
||0830009. (İnternet Ücreti)|31.3543|
|11-Kasım|0122101. (Su)|0.282|
||0451001. (Elektrik Ücreti)|0.2643|
||0452101. (Doğal Gaz)|0.7126|
||0830009. (İnternet Ücreti)|31.3543|
|12-Aralık|0122101. (Su)|0.283|
||0451001. (Elektrik Ücreti)|0.2643|
||0452101. (Doğal Gaz)|0.7125|
||0830009. (İnternet Ücreti)|31.3543|
2010|01-Ocak|0122101. (Su)|0.2836|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7119|
||0830009. (İnternet Ücreti)|57.0225|
|02-Şubat|0122101. (Su)|0.2836|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7123|
||0830009. (İnternet Ücreti)|57.0225|
|03-Mart|0122101. (Su)|0.2843|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7129|
||0830009. (İnternet Ücreti)|57.0225|
|04-Nisan|0122101. (Su)|0.285|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7176|
||0830009. (İnternet Ücreti)|57.0225|
|05-Mayıs|0122101. (Su)|0.2848|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7155|
||0830009. (İnternet Ücreti)|57.0225|
|06-Haziran|0122101. (Su)|0.2839|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.717|
||0830009. (İnternet Ücreti)|57.0225|
|07-Temmuz|0122101. (Su)|0.2849|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7173|
||0830009. (İnternet Ücreti)|57.0225|
|08-Ağustos|0122101. (Su)|0.2857|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7168|
||0830009. (İnternet Ücreti)|57.0225|
|09-Eylül|0122101. (Su)|0.2857|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7158|
||0830009. (İnternet Ücreti)|57.0225|
|10-Ekim|0122101. (Su)|0.2859|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7165|
||0830009. (İnternet Ücreti)|57.0225|
|11-Kasım|0122101. (Su)|0.2863|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7159|
||0830009. (İnternet Ücreti)|57.0225|
|12-Aralık|0122101. (Su)|0.2875|
||0451001. (Elektrik Ücreti)|0.2672|
||0452101. (Doğal Gaz)|0.7163|
||0830009. (İnternet Ücreti)|57.0225|
2011|01-Ocak|0122101. (Su)|0.2927|
||0451001. (Elektrik Ücreti)|0.2665|
||0452101. (Doğal Gaz)|0.7175|
||0830009. (İnternet Ücreti)|37.009|
|02-Şubat|0122101. (Su)|0.2933|
||0451001. (Elektrik Ücreti)|0.2665|
||0452101. (Doğal Gaz)|0.7196|
||0830009. (İnternet Ücreti)|37.009|
|03-Mart|0122101. (Su)|0.2956|
||0451001. (Elektrik Ücreti)|0.2665|
||0452101. (Doğal Gaz)|0.7218|
||0830009. (İnternet Ücreti)|37.009|
|04-Nisan|0122101. (Su)|0.2971|
||0451001. (Elektrik Ücreti)|0.2648|
||0452101. (Doğal Gaz)|0.7231|
||0830009. (İnternet Ücreti)|37.009|
|05-Mayıs|0122101. (Su)|0.2994|
||0451001. (Elektrik Ücreti)|0.2648|
||0452101. (Doğal Gaz)|0.7231|
